"id","source","target"
"76f944e5eb74723399adc54bb93c40bc51fd803a","Favorite Opportunity","Favorite Opportunity"
"4430c756c45a77024099b2e550cf03f3b616a7e3","You will need to be logged in to favorite this opportunity.","You will need to be logged in to favorite this opportunity."
"d7b35c384aecd25a516200d6921836374613dfe7","Cancel","Cancel"
"68e710782ccb5398b3acb8844caf0b199da2c3da","Confirm","Confirm"
"b5ebce76ac17b2c64965edb3a64ac45789eab5d8","Stories","Stories"
"e4af1d8589cbeceafa239ea4c5f287a88f4a4f02","Meet your experience manager who is here to help facilitate your new adventure.","Meet your experience manager who is here to help facilitate your new adventure."
"553ddaebedd198abcc770d4c31cd5504d87dcd29","Please add your thoughts","Please add your thoughts"
"4dfef9c67d8f6e7a85cdce0834c1cb2d2e7e13dd","Who do you want to chat with?","Who do you want to chat with?"
"99d89a122e738580a025973c6e78d67169bdef06","Experience Manager","Experience Manager"
"08113d836036502f7f25690d9bf528318dfecd97","Chat directly with your Manager","Chat directly with your Manager"
"f1abafaeb40ce52355ddcc24686e3cd17b64e08a","Applications","Applications"
"911cec421c58ebd9fe47e9a89fda63dc546f8f61","Help with a specific application","Help with a specific application"
"dba1582648d3141522be52e35e52610daad94f42","Platform Support","Platform Support"
"4a1d520c4af755cfeb20f1acb3a8eb9f99d960d2","Any technical issue you might have while using the platform","Any technical issue you might have while using the platform"
"8461cbd29ef3160779282ca2718d2d38bc0fc686","An Experience Manager has not been assigned for you yet","An Experience Manager has not been assigned for you yet"
"ce16629cdc47e52789248cc27c58c505044ec797","Select the application to start a conversation...","Select the application to start a conversation..."
"94516fa213706c67ce5a5b5765681d7fb032033a","Loading...","Loading..."
"9c858c9082e72a6fa5a0deb1787ea8bc18aa78a0","You do not have any applications yet","You do not have any applications yet"
"ec9eb94045a806eca74ac330ec4f9104181e7e95","Got it!","Got it!"
"1154331e28402d925c43580d53f2b5d9ac8f0cfc","End of Global Partners. Click next to view National Partners","End of Global Partners. Click next to view National Partners"
"9a3ffc95fb25ed5bfdd4ec3ba6a5704f009c6191","Season 2 is live!","Season 2 is live!"
"1c803529cde4e611919fe989a7ab8a9e80b97cb3","A video series about 10 volunteers across the globe","A video series about 10 volunteers across the globe"
"c14e7717296e334105b4c0992ed6215eb5898277","Watch the episodes here","Watch the episodes here"
"7368c0739e84b7301694133093cd9d323d334d15","What are you looking for?","What are you looking for?"
"28743f333654682e486ea1481840e0609c5bd42f","Spend 6 to 12 weeks volunteering abroad","Spend 6 to 12 weeks volunteering abroad"
"da60c95c3b1aafa44d8061d58aa03d0ce853c7ad","Gain professional experience in a startup","Gain professional experience in a startup"
"a915af9c33674a47097209177cd47a483607379d","Intern in your field and start your career","Intern in your field and start your career"
"c2ecb4aab308763438862c109a7cea9be4d8a06a","Where do you want to go?","Where do you want to go?"
"cda31dbd724cf5f4fa7a4274d9120651490c8a8c","Back","Back"
"f732c304c7433e5a83ffcd862c3dce709a0f4982","Next","Next"
"45ad95b7691204acba62474f48aedc621c6bd077","What do you want to do? (choose 3)","What do you want to do? (choose 3)"
"c12e93064242a12e7932d7f1433f37226c3341ab","Explore Opportunities","Explore Opportunities"
"91f3f14a5173a8fb87218e84049562a6c7d025f0","What causes are you interested in? (choose 3)","What causes are you interested in? (choose 3)"
"c6fd9372ff7bac990d7851d7734c992b15a0d36b","Searching for Opportunities","Searching for Opportunities"
"87b31c21209791cf1673bb47b17c14f908825770","[object Object]","[object Object]"
"4208e3cacb6f5d5df6f46ceabf1a23c5d217c714","Start Over","Start Over"
"376e7cf5d8cc614e745ce58a2143a6d7158ae559","Loading ...","Loading ..."
"97662ffbbc646cf9be667f1aab4bd8711a7d58e9","This is the beginning of the conversation","This is the beginning of the conversation"
"4d1e4a193894ec110900dc38bd3f6d2ca875dd2e","All empty here! Send a message to start a conversation.","All empty here! Send a message to start a conversation."
"b914972874cd609b3770e2c9d9eed43f9ee76c97","Oops, we've lost connection, please try again","Oops, we've lost connection, please try again"
"c6577e508b64de8397fb7190958553a1a495e52e","Loading ...","Loading ..."
"454a7b64803fbe2e5e2a8002a0214124eb2658f5","No new notifications!","No new notifications!"
"8444c2e339957b62697d6e98c64355fde30d7614","Let us help you select the right opportunity.","Let us help you select the right opportunity."
"b41f92d669b5b62edbbd30edd9dae49daec12bb3","Are you considering volunteering abroad?","Are you considering volunteering abroad?"
"b52c87b1b9a4553d7a88cbd1174ec059f75020b4","Are you considering working in a corporate environment abroad?","Are you considering working in a corporate environment abroad?"
"9d165482c75091d9513e2ffa0a2cf5e7191a8f2c","Are you considering working in a startup environment abroad?","Are you considering working in a startup environment abroad?"
"b5a8837351cdd92bb7012a6efc7fa0c2a85f09ae","The selection process is currently        unavailable. Please check after some time.","The selection process is currently        unavailable. Please check after some time."
"3bc1464580a5f0bc58b14641b28255a850043bb7","Number of Days","Number of Days"
"041620337eaebda87971d345d05697639dfe78e4","Step","Step"
"34c83315b26356af647dee4ac9f816536bb3062c","There are no testimonials for this opportunity, yet","There are no testimonials for this opportunity, yet"
"cdb3ee2cb14b610d4118c3657d65973a5d90208a","- Project Fee","- Project Fee"
"baa2c9c0aa1c79e10e205a5ef7dc5a16805781f5","The Project Fee includes:","The Project Fee includes:"
"1d4c16ba54f73d1e9c47dc9ce95ba072bda095b0","Accommodation costs","Accommodation costs"
"4152811f18dd429f081cffc266c6e46359c171f1","Pick up costs","Pick up costs"
"6d7c603fde05b4e8caf486157aad211488511590","Leadership spaces","Leadership spaces"
"a0c6be8fc6cec46249fa31d1c9ee4fd72bc2a8c1","Administrative costs","Administrative costs"
"2df98a1c5406d982f00a3d7096caaa271cf559d7","To be paid in cash once abroad","To be paid in cash once abroad"
"dd0ce3b9638c246ec42872e646f783fdc9466596","This project fee is sponsered by","This project fee is sponsored by"
"bf78ed699ca51622222ed11fb5f59e0871b3699e","For more information about the fee,","For more information about the fee,"
"6a819e802bdbaedddb5acb10ce41c5a86e7336d4","Login to view the fee associated with this opportunity","Login to view the fee associated with this opportunity"
"8b34875ab0c8b8149e1cb19fc2f00080be6095a5","- Required","- Required"
"f2e041aa16a74be84a7b561170e0de1877c34363","Personal details","Personal details"
"ddb23021acde0ce82888106f550fdcd3b8cccea8","Education","Education"
"b7e4a206c2d9ad0f0268bb54d91aa4851eb445b9","Ongoing","Ongoing"
"bb06df4e6841dc75dc50071bdcfe7f5592a92cce","Degree Title","Degree Title"
"3ce0643d7ad7b0f15edd81f3a909ac36197d931e","Institute Name","Institute Name"
"3466929d9b944feda401b28f5bc4181e4274f61b","What is your field of study?","What is your field of study?"
"a43f25a9ac40e8e2441ff0be7a36b8e5d15534df","Country","Country"
"3e6acd589d8b82cafd8546409da0a36469d297a0","Start Date","Start Date"
"0f551576faafbd2806d4af653469655f1b35afe1","End Date","End Date"
"20d9489fdbfc121f7c504271b36691515d02f632","Job Title","Job Title"
"fbaed105e9bfc80665bb7e0d5caaeae41f24ea83","Organisation Name","Organisation Name"
