id,source,target,Brazilian Portuguese,Turkish,Russian,Spanish,German,French,Portuguese,Polish,Chinese (PRC),Italian,Romanian,Dutch
id,source,target,fonte,kaynak,источник,fuente,Quelle,la source,fonte,źródło,资源,fonte,sursă,bron
76f944e5eb74723399adc54bb93c40bc51fd803a,Favorite Opportunity,Favorite Opportunity,Oportunidade favorita,Favori Fırsat,Любимая возможность,Oportunidad favorita,Lieblingsgelegenheit,Opportunité préférée,Oportunidade favorita,Ulubiona okazja,最喜欢的机会,Opportunità preferita,Oportunitate preferată,Favoriete kans
4430c756c45a77024099b2e550cf03f3b616a7e3,You will need to be logged in to favorite this opportunity.,You will need to be logged in to favorite this opportunity.,Você precisará estar logado para favoritar esta oportunidade.,Bu fırsatı favorilerinize eklemek için giriş yapmanız gerekecek.,"Вам нужно будет войти, чтобы добавить эту возможность в избранное.",Deberá iniciar sesión para marcar esta oportunidad como favorita.,"Sie müssen angemeldet sein, um diese Gelegenheit nutzen zu können.",Vous devrez être connecté pour mettre cette opportunité en favori.,Você precisará estar logado para favoritar esta oportunidade.,"Musisz być zalogowany, aby wybrać tę ulubioną opcję.",您需要先登录才能收藏此机会。,Devi aver effettuato l'accesso per aggiungere questa opportunità ai preferiti.,Va trebui să fiți conectat pentru a prefera această oportunitate.,U moet zijn aangemeld om deze mogelijkheid als favoriet te kunnen gebruiken.
d7b35c384aecd25a516200d6921836374613dfe7,Cancel,Cancel,Cancelar,İptal etmek,Отмена,Cancelar,Stornieren,Annuler,Cancelar,Anuluj,取消,Annulla,Anulare,annuleren
68e710782ccb5398b3acb8844caf0b199da2c3da,Confirm,Confirm,confirme,Onaylamak,Подтверждение,Confirmar,Bestätigen,Confirmer,confirme,Potwierdzać,确认,Confermare,A confirma,Bevestigen
b5ebce76ac17b2c64965edb3a64ac45789eab5d8,Stories,Stories,Histórias,Hikayeler,Рассказы,Cuentos,Geschichten,Histoires,Histórias,Historie,故事,Storie,povestiri,Verhalen
e4af1d8589cbeceafa239ea4c5f287a88f4a4f02,Meet your experience manager who is here to help facilitate your new adventure.,Meet your experience manager who is here to help facilitate your new adventure.,"Conheça seu gerente de experiência, que está aqui para ajudar a facilitar sua nova aventura.",Yeni maceranızı kolaylaştırmak için burada bulunan deneyim yöneticinizle tanışın.,"Познакомьтесь с вашим опытным менеджером, который поможет вам в вашем новом приключении.",Conozca a su gerente de experiencia que está aquí para ayudarlo a facilitar su nueva aventura.,"Treffen Sie Ihren Experience Manager, der hier ist, um Ihnen bei Ihrem neuen Abenteuer zu helfen.",Rencontrez votre gestionnaire d'expérience qui est là pour vous aider à faciliter votre nouvelle aventure.,"Conheça seu gerente de experiência, que está aqui para ajudar a facilitar sua nova aventura.","Poznaj swojego menedżera doświadczenia, który jest tutaj, aby pomóc ci w nowej przygodzie.",与您的经验经理会面，他会在这里帮助您进行新的冒险。,Incontra il tuo manager delle esperienze che è qui per aiutarti a facilitare la tua nuova avventura.,Faceți cunoștință cu managerul dvs. de experiență care este aici pentru a vă facilita noua aventură.,Maak kennis met uw ervaringsmanager die hier is om u te helpen bij uw nieuwe avontuur.
553ddaebedd198abcc770d4c31cd5504d87dcd29,Please add your thoughts,Please add your thoughts,"Por favor, adicione seus pensamentos",Lütfen düşüncelerinizi ekleyin,"Пожалуйста, добавьте свои мысли",Por favor agrega tus pensamientos,Bitte fügen Sie Ihre Gedanken hinzu,Veuillez ajouter vos pensées,"Por favor, adicione seus pensamentos",Dodaj swoje przemyślenia,请添加您的想法,"Per favore, aggiungi i tuoi pensieri",Vă rugăm să adăugați gândurile,Voeg alstublieft uw gedachten toe
4dfef9c67d8f6e7a85cdce0834c1cb2d2e7e13dd,Who do you want to chat with?,Who do you want to chat with?,Com quem você quer conversar?,Kiminle sohbet etmek istiyorsun?,С кем вы хотите пообщаться?,¿Con quién quieres chatear?,Mit wem möchten Sie chatten?,Avec qui voulez-vous discuter?,Com quem você quer conversar?,Z kim chcesz rozmawiać?,您想和谁聊天？,Con chi vuoi chattare?,Cu cine vrei să discuți?,Met wie wil je chatten?
99d89a122e738580a025973c6e78d67169bdef06,Experience Manager,Experience Manager,Gerente de Experiência,Deneyim Yöneticisi,Опытный менеджер,Gerente de experiencia,Experience Manager,Gestionnaire d'expérience,Gerente de Experiência,Menedżer doświadczenia,体验经理,Responsabile dell'esperienza,Manager de experiență,Experience Manager
